feature,family,importance_mean,importance_std,importance_low,importance_high,positive_fraction,positive_season_fraction,rank
steal_net_strength_vs_strength,steal,-0.00040116349734348465,0.0014299340893974442,-0.003092318884276363,0.0020502353755902495,0.4,0.5,88
four_factor_reliability_environment,engineered_composites,-0.000412648303066813,0.0028388367732665935,-0.00630208580243666,0.0049549056583667395,0.425,0.5,89
assist_opponent_adjusted_matchup_edge,assist,-0.0004914334721058057,0.005068545396061092,-0.00947351322266246,0.0071659250716483314,0.49166666666666664,0.6666666666666666,90
free_throw_rate_recent_form_edge,free_throw_rate,-0.000580465327201346,0.0019452997175690094,-0.004676498236468854,0.0025918776510433163,0.4166666666666667,0.3333333333333333,91
offensive_rebound_net_strength_vs_weakness,offensive_rebound,-0.0006668199660539988,0.006283363376133415,-0.014770340047717333,0.009886390177977177,0.45,0.6666666666666666,92
three_point_net_weakness_vs_strength,three_point,-0.0007180361230380156,0.002156479506018914,-0.004502947490286724,0.003653445076669229,0.35833333333333334,0.3333333333333333,93
two_point_recent_form_edge,two_point,-0.0010606494066681775,0.005287482760055112,-0.010335564580714256,0.007259778963959679,0.4583333333333333,0.5,94
three_point_net_strength_vs_strength,three_point,-0.0011908688359556125,0.006196392426853408,-0.013026107066990556,0.010532371529102082,0.44166666666666665,0.3333333333333333,95
assist_net_strength_vs_strength,assist,-0.0012682659695770306,0.0032498179966121846,-0.0063408075733143495,0.0050484558357749105,0.325,0.16666666666666666,96
three_point_volatility_edge,engineered_composites,-0.0024601100169432083,0.004101471036947862,-0.01219437995530794,0.004067573575875193,0.2833333333333333,0.3333333333333333,97
four_factor_edge_max,engineered_composites,-0.0024947554192924254,0.006025883293294534,-0.012180158252921963,0.011247150042599645,0.31666666666666665,0.16666666666666666,98
